n;SI;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria
11;S;The canary in the city: indicator groups as predictors of local rent increases;Steentoft, Aike A. and Poorthuis, Ate and Lee, Bu-Sung and Schläpfer, Markus;;;Springer Link;21;7;As cities grow, certain neighborhoods experience a particularly high demand for housing, resulting in escalating rents. Despite far-reaching socioeconomic consequences, it remains difficult to predict when and where urban neighborhoods will face such changes. To tackle this challenge, we adapt the concept of ‘bioindicators’, borrowed from ecology, to the urban context. The objective is to use an ‘indicator group’ of people to assess the quality of a complex environment and its changes over time. Specifically, we analyze 92 million geolocated Twitter records across five {US} cities, allowing us to derive socio-economic user profiles based on individual movement patterns. As a proof-of-concept, we define users with a ‘high-income-profile’ as an indicator group and show that their visitation patterns are a suitable indicator for expected future rent increases in different neighborhoods. The concept of indicator groups highlights the potential of closely monitoring only a specific subset of the population, rather than the population as a whole. If the indicator group is defined appropriately for the phenomenon of interest, this approach can yield early predictions while simultaneously reducing the amount of data that needs to be collected and analyzed.;;10.1140/epjds/s13688-018-0151-y;https://doi.org/10.1140/epjds/s13688-018-0151-y;;;;;2193-1127;;;
12;S;City intelligence for enhancing urban performance value: a conceptual study on data decomposition in smart cities;Kourtit, Karima;;;Springer Link;191--222;5;The contemporary ‘digital age’ prompts the need for a re-assessment of urban planning principles and practices. Against the background of current data-rich urban planning, this study seeks to address the question whether an appropriate methodological underpinning can be provided for smart city governance based on a data-driven planning perspective. It posits that the current digital technology age has a drastic impact on city strategies and calls for a multi-faceted perspective on future urban development, termed here the ‘{XXQ}-principle’ (which seeks to attain the highest possible level of quality for urban life). Heterogeneity in urban objectives and data embodied in the {XXQ}-principle can be systematically addressed by a process of data decomposition (based on a ‘cascade principle’), so that first, higher-level urban policy domains are equipped with the necessary (‘big’) data provisions, followed by lower-ranking urban governance levels. The conceptual decomposition principle can then be translated into a comprehensive hierarchical model architecture for urban intelligence based on the ‘flying disc’ model, including key performance indicators ({KPIs}). This new model maps out the socio-economic arena of a complex urban system according to the above cascade system. The design of this urban system architecture and the complex mutual connections between its subsystems is based on the ‘blowing-up’ principle that originates from a methodological deconstruction-reconstruction paradigm in the social sciences. The paper advocates the systematic application of this principle to enhance the performance of smart cities, called the {XXQ} performance value. This study is not empirical, although it is inspired by a wealth of previous empirical research. It aims to advance conceptual and methodological thinking on principles of smart urban planning.;;10.1007/s41685-021-00193-9;https://doi.org/10.1007/s41685-021-00193-9;;;;;2509-7954;;;
13;S;A New Neural Network Classifier Based on Atanassov’s Intuitionistic Fuzzy Set Theory;Giveki, Davar and Rastegar, Homayoun and Karami, Maryam;;;Springer Link;170--182;27;This paper proposes a new framework for training radial basis function neural networks ({RBFNN}). Determination of the centers of the Gaussian functions in the hidden layer of {RBF} neural network highly affects the performance of the network. This paper presents a novel radial basis function using fuzzy C-means clustering algorithm based on Atanassov’s intuitionistic fuzzy set (A-{IFS}) theory. The A-{IFS} theory takes into account another uncertainty parameter which is the hesitation degree that arises while defining the membership function and therefore, the cluster centers converge to more desirable locations than the cluster centers obtained using traditional fuzzy C-means algorithm. Furthermore, we make use of a new objective function obtained by Atanassov’s intuitionistic fuzzy entropy. This objective function is incorporated in the traditional fuzzy C-means clustering algorithm to maximize the good points in the class. The proposed method is used to improve the functionality of the Optimum Steepest Descent ({OSD}) learning algorithm. Adjusting {RBF} units in the network with great accuracy will result in better performance in fewer train iterations, which is essential when fast retraining of the network is needed, especially in the real-time systems. We compare the proposed Atanassov’s intuitionistic radial basis function neural network (A-{IRBFNN}) with fuzzy C-mean radial basis function neural network ({FCMRBFNN}) while both methods use {OSD} learning algorithm. Furthermore, the proposed A-{IRBFNN} is compared with other powerful fuzzy-based radial basis function neural network. Experimental results on Proben1 dataset and demonstrate the superiority of the proposed A-{IRBFNN}.;;10.3103/S1060992X18030062;https://doi.org/10.3103/S1060992X18030062;;;;;1934-7898;;;
14;S;The potential of volunteered geographic information to investigate peri-urbanization in the conservation zone of Mexico City;Heider, Katharina and Lopez, Juan Miguel Rodriguez and Scheffran, Jürgen;;;Springer Link;219;190;Due to the availability of Web 2.0 technologies, volunteered geographic information ({VGI}) is on the rise. This new type of data is available on many topics and on different scales. Thus, it has become interesting for research. This article deals with the collective potential of {VGI} and remote sensing to detect peri-urbanization in the conservation zone of Mexico City. On the one hand, remote sensing identifies horizontal urban expansion, and on the other hand, {VGI} of ecological complaints provides data about informal settlements. This enables the combination of top-down approaches (remote sensing) and bottom-up approaches (ecological complaints). Within the analysis, we identify areas of high urbanization as well as complaint densities and bring them together in a multi-scale analysis using Geographic Information Systems ({GIS}). Furthermore, we investigate the influence of settlement patterns and main roads on the peri-urbanization process in Mexico City using {OpenStreetMap}. Peri-urbanization is detected especially in the transition zone between the urban and rural (conservation) area and near main roads as well as settlements.;;10.1007/s10661-018-6597-3;https://doi.org/10.1007/s10661-018-6597-3;;;;;1573-2959;;;
15;S;Appraisal Accuracy and Automated Valuation Models in Rural Areas;Bogin, Alexander N. and Shui, Jessica;;;Springer Link;40--52;60;Accurate and unbiased property value estimates are essential to credit risk management. Along with loan amount, they determine a mortgage’s loan-to-value ratio, which captures the degree of homeowner equity and is a key determinant of borrower credit risk. For home purchases, lenders generally require an independent appraisal, which, in addition to a home’s sales price, is used to calculate a value for the underlying collateral. A number of empirical studies have shown that property appraisals tend to be biased upwards, and over 90 percent of the time, either confirm or exceed the associated contract price. Our data suggest that appraisal bias is particularly pervasive in rural areas where over 25 percent of rural properties are appraised at more than five percent above contract price. Given this significant upward bias, we examine a host of alternate valuation techniques to more accurately estimate rural property values.;;10.1007/s11146-019-09712-0;https://doi.org/10.1007/s11146-019-09712-0;;;;;1573-045X;;;
16;S;Peer-Dependence Valuation Model for Real Estate Appraisal;Bin, Junchi and Gardiner, Bryan and Li, Eric and Liu, Zheng;;;Springer Link;2;3;Deep learning recently attracts considerable attention thanks to its powerful computational capacities in image processing and natural language processing. More and more real estate brokers provide online “Deep” expert systems to help clients with their inquiry of targeted properties before deciding on the transaction of properties. The real estate appraisal is one of the most significant concerns for the clients. In the appraisal process, the estimation of house price depends not only on its attributes but also their neighbors. The influence from neighbors is known as peer-dependence, which is not directly measurable. Thus, real estate appraisal can be improved if the valuation includes the peer-dependence measurement. In this paper, we propose a peer-dependence valuation model ({PDVM}), which is capable of converting the peer-dependence-based valuation problem into a sequence prediction problem. In the proposed model, we first develop a method, K-nearest similar house sampling ({KNSHS}), to generate sequences from the to-be-value house and nearby houses. Secondly, the bidirectional long short-term memory (B-{LSTM}) layers extract the features of sequences. Finally, the fully connected ({FC}) layer estimates the house price based on the features. The experimental results indicate that our model outperforms the other state-of-the-art machine learning models being used for real estate appraisal.;;10.1007/s41688-018-0027-0;https://doi.org/10.1007/s41688-018-0027-0;;;;;2510-1161;;;
17;S;A new causal discovery heuristic;Prestwich, S. D. and Tarim, S. A. and Ozkan, I.;;;Springer Link;245--259;82;Probabilistic methods for causal discovery are based on the detection of patterns of correlation between variables. They are based on statistical theory and have revolutionised the study of causality. However, when correlation itself is unreliable, so are probabilistic methods: unusual data can lead to spurious causal links, while nonmonotonic functional relationships between variables can prevent the detection of causal links. We describe a new heuristic method for inferring causality between two continuous variables, based on randomness and unimodality tests and making few assumptions about the data. We evaluate the method against probabilistic and additive noise algorithms on real and artificial datasets, and show that it performs competitively.;;10.1007/s10472-018-9575-0;https://doi.org/10.1007/s10472-018-9575-0;;;;;1573-7470;;;
18;S;Scene Classification Using Multi-Resolution {WAHOLB} Features and Neural Network Classifier;Montazer, Gholam Ali and Giveki, Davar;;;Springer Link;681--704;46;This article approaches scene classification problem by proposing an enhanced bag of features ({BoF}) model and a modified radial basis function neural network ({RBFNN}) classifier. The proposed {BoF} model integrates the image features extracted by histogram of oriented gradients, local binary pattern and wavelet coefficients. The extracted features are obtained in a hierarchical multi-resolution manner. The proposed approach is able to capture multi-level (the pixel-, patch-, and image-level) features. The histograms of features constructed by {BoF} model are then used for training a modified {RBFNN} classifier. As a modification, we propose using a new variant of particle swarm optimization, in which the parameters are updated adaptively, for determining the center of Gaussian functions in {RBFNN}. Experimental results demonstrate that our proposed approach significantly outperforms the state-of-the-art methods on scene classification of {OT}, {FP}, and {LSP} benchmark datasets.;;10.1007/s11063-017-9614-6;https://doi.org/10.1007/s11063-017-9614-6;;;;;1573-773X;;;
19;S;Bayesian Estimation of Economic Simulation Models Using Neural Networks;Platt, Donovan;;;Springer Link;;;Recent advances in computing power and the potential to make more realistic assumptions due to increased flexibility have led to the increased prevalence of simulation models in economics. While models of this class, and particularly agent-based models, are able to replicate a number of empirically-observed stylised facts not easily recovered by more traditional alternatives, such models remain notoriously difficult to estimate due to their lack of tractable likelihood functions. While the estimation literature continues to grow, existing attempts have approached the problem primarily from a frequentist perspective, with the Bayesian estimation literature remaining comparatively less developed. For this reason, we introduce a widely-applicable Bayesian estimation protocol that makes use of deep neural networks to construct an approximation to the likelihood, which we then benchmark against a prominent alternative from the existing literature. Overall, we find that our proposed methodology consistently results in more accurate estimates in a variety of settings, including the estimation of financial heterogeneous agent models and the identification of changes in dynamics occurring in models incorporating structural breaks.;;10.1007/s10614-021-10095-9;https://doi.org/10.1007/s10614-021-10095-9;;;;;1572-9974;;;
20;S;Boosting house price predictions using geo-spatial network embedding;Das, Sarkar Snigdha Sarathi and Ali, Mohammed Eunus and Li, Yuan-Fang and Kang, Yong-Bin and Sellis, Timos;;;Springer Link;2221--2250;35;Real estate contributes significantly to all major economies around the world. In particular, house prices have a direct impact on stakeholders, ranging from house buyers to financing companies. Thus, a plethora of techniques have been developed for real estate price prediction. Most of the existing techniques rely on different house features to build a variety of prediction models to predict house prices. Perceiving the effect of spatial dependence on house prices, some later works focused on introducing spatial regression models for improving prediction performance. However, they fail to take into account the geo-spatial context of the neighborhood amenities such as how close a house is to a train station, or a highly-ranked school, or a shopping center. Such contextual information may play a vital role in users’ interests in a house and thereby has a direct influence on its price. In this paper, we propose to leverage the concept of graph neural networks to capture the geo-spatial context of the neighborhood of a house. In particular, we present a novel method, the geo-spatial network embedding ({GSNE}), that learns the embeddings of houses and various types of points of interest ({POIs}) in the form of multipartite networks, where the houses and the {POIs} are represented as attributed nodes and the relationships between them as edges. Extensive experiments with a large number of regression techniques show that the embeddings produced by our proposed {GSNE} technique consistently and significantly improve the performance of the house price prediction task regardless of the downstream regression model. Relevant source code for {GSNE} is available at: https://github.com/sarathismg/gsne.;;10.1007/s10618-021-00789-x;https://doi.org/10.1007/s10618-021-00789-x;;;;;1573-756X;;;
21;S;On the Directional Accuracy of United States Housing Starts Forecasts: Evidence from Survey Data;Meyer, Tim;;;Springer Link;457--488;58;I use data from both the Survey of Professional Forecasters and the Livingston Survey to study the directional accuracy of United States housing starts forecasts. Using elements of relative operating characteristic ({ROC}) analysis, I find that forecasts contain information with respect to subsequent changes in housing starts. Estimates for both surveys are significant at all forecast horizons and robust across time and across forecasters. Implications for the usage of housing starts forecasts from survey data are discussed.;;10.1007/s11146-017-9637-9;https://doi.org/10.1007/s11146-017-9637-9;;;;;1573-045X;;;
22;S;Automated valuation model for residential rental markets: evidence from Japan;Cheung, William and Guo, Lewen and Kawaguchi, Yuichiro;;;Springer Link;2;2;We introduce a new type of automated valuation model ({AVM}) for residential rental markets employing the ordinary kriging method. Using nearly 300, 000 coordinates of individual properties and a proprietary dataset of asking rental prices, we form a unique micro-level housing rental dataset for five major metropolitan areas in Tokyo, Japan, and estimate the rental {AVM} with kriging, utilising only latitude and longitude. From our training and test datasets, we find that the accuracy of the ordinary kriging method is comparable to the traditional hedonic pricing approach, which requires substantial property information. Our finding suggests that the efficiency of the ordinary kriging approach for rental {AVM} is comparable to the hedonic pricing approach. For robustness, we investigate the roles of spatial variables based on our baseline hedonic regression models. Spatial variables—latitudes, longitudes, and distance to Tokyo Station—are significant in determining housing rents in the Tokyo residential market. By providing an open-source {AVM} for the residential rental market, we alleviate the information asymmetry between the tenants-to-be and property owners and increase the efficiency of housing markets.;;10.1007/s43071-021-00009-0;https://doi.org/10.1007/s43071-021-00009-0;;;;;2662-298X;;;
23;S;Reliable region predictions for automated valuation models;Bellotti, Anthony;;;Springer Link;71--84;81;Accurate property valuation is important for property purchasers, investors and for mortgage-providers to assess credit risk in the mortgage market. Automated valuation models ({AVM}) are being developed to provide cheap, objective valuations that allow dynamic updating of property values over the term of a mortgage. A useful feature of automated valuations is to provide a region of plausible price estimates for each individual property, rather than just a single point estimate. This would allow buyers and sellers to understand uncertainty on pricing individual properties and mortgage providers to include conservatism in their credit risk assessment. In this study, Conformal Predictors ({CP}) are used to provide such region predictions, whilst strictly controlling for predictive accuracy. We show how an {AVM} can be constructed using a {CP}, based on an underlying k-nearest neighbours approach. Time trend in property prices is dealt with by assuming a systematic effect over time and adjusting prices in the training data accordingly. The {AVM} is tested on a large data set of London property prices. Region predictions are shown to be reliable and the efficiency, ie region width, of property price predictions is investigated. In particular, a regression model is constructed to model the uncertainty in price prediction linked to property characteristics.;;10.1007/s10472-016-9534-6;https://doi.org/10.1007/s10472-016-9534-6;;;;;1573-7470;;;
24;S;Learning with self-attention for rental market spatial dynamics in the Atlanta metropolitan area;Zhou, Xiaolu and Tong, Weitian;;;Springer Link;837--845;14;The rental housing market plays a critical role in the United States real estate market. Prior studies have used various approaches to model housing rent, such as interpolation, hedonic modeling, and machine learning. However, only a few studies have modeled rental prices based on textual data, which provides rich and contextual information about rental properties. In addition, many models, especially deep learning models, use an end-to-end black box for prediction, which hides the decision process. Such models are difficult to interpret and explain the driving factors. This study builds on our previous work, aiming to develop and evaluate rental market spatial dynamics models combining Long Short-Term Memory ({LSTM}) networks and self-attention mechanism. We compare the performance of the proposed model with our previous models on predicting rental prices in Atlanta, Georgia, {USA}. We also use techniques from saliency maps to explain the generated model. Results show that the self-attention-based model outperforms our previous models. The saliency map techniques reveal how the model attends to a different part of the textual information. The predicted results reflect the spatial variation of textual information. Such a model offers practical pricing references for homeowners and renters, and spatial patterns for urban planners and stakeholders.;;10.1007/s12145-021-00589-3;https://doi.org/10.1007/s12145-021-00589-3;;;;;1865-0481;;;
25;S;Reverse mortgages through artificial intelligence: new opportunities for the actuaries;di Lorenzo, Emilia and Piscopo, Gabriella and Sibillo, Marilena and Tizzano, Roberto;;;Springer Link;23--35;44;"In its basic structure, the reverse mortgage ({RM}) is a contract where a home owner borrows a part or the totality of the future liquidation value of his home at the time of his death. The risks that are borne by the lender are linked to the volatility of the real estate market, that is the house price risk, the financial market risk, that is the interest rate risk, and the uncertainty of the borrower’s lifetime, that is the longevity risk. The quantification of the future liquidation value and its valuation at the issue time is fundamental in the construction of the {RM} contract either in the perspective of the lender or in the one of the borrower. In the paper, we explore the use of neural networks to project the real estate market data; this approach allows to obtain a predictive analysis of the pricing process and indeed provides a dynamic pricing algorithm.";;10.1007/s10203-020-00274-y;https://doi.org/10.1007/s10203-020-00274-y;;;;;1129-6569;;;
26;S;Customer demand analysis of the electronic commerce supply chain using Big Data;Li, Lei and Chi, Ting and Hao, Tongtong and Yu, Tao;;;Springer Link;113--128;268;"With the advent of the Internet and the flourishing of connected technology, electronic commerce has become a new business model that disrupts the traditional transactional model and is transforming the consumer’s lifestyle. Electronic commerce leads to constantly changing customer needs, therefore quick action and collaboration between production and the market is essential. Meanwhile, the abundant transactional data generated by electronic commerce allows us to explore browsing behaviors, habits, preferences and even characteristics of customers, which can help companies to understand their customer’s needs more clearly. Traditional supply chain management ({SCM}) simply cannot keep up with electronic commerce because demand forecasts are constantly changing. Customer demands create and affect the whole supply chain. The purpose of {SCM} is to satisfy the customers who support the company by paying for the products; so meeting changing customer needs should be incorporated into {SCM} by developing demand chain management ({DCM}). In this paper, we explore how {DCM} can perform better in the electronic commerce environment based on studying website behavior data and using data analytics tools. The results show that {DCM} performs much better when paired with the benefits of electronic commerce and Big Data than traditional {SCM} methods.";;10.1007/s10479-016-2342-x;https://doi.org/10.1007/s10479-016-2342-x;;;;;1572-9338;;;
