ID;documento
11;NOVEDAD - La casa residencial (1) tiene paso de vellón (26) conectado con balcón interior (25) y galería (22). El paso de vellón funciona como paso para las habitaciones (28,30). Entre el paso de vellón y la galería está dispuesta la escalera (K2). USO - Casa residencial. VENTAJA: Aumenta la habitabilidad residencial, la función, la liberación y el diseño novedoso. Dado que el espacio de vellón y la galería se combinan, es posible utilizarlos como espacio de trabajo y espacio privado, etc. DESCRIPCIÓN DE LOS DIBUJOS: la figura muestra la distribución de las habitaciones del segundo piso del edificio. Casa residencial (1) Galería (22) Balcón interior (25)Paso polar (26)Habitaciones (28,30)Escalera (K2)
12;NOVEDAD - El forjado (S) del sótano (B) de la vivienda residencial está reforzado mediante armaduras de hormigón. Un ascensor, soportado a una estructura externa (5) montada sobre la losa del piso, conecta los sótanos y los pisos (1F, 2F) de la casa residencial. USO - Ninguno dado. VENTAJA - Garantiza un soporte fiable de la carga vertical del ascensor. Configuración sencilla. Agiliza construcción de vivienda residencial con ascensor. Previene efectos adversos sobre la habitabilidad de la vivienda residencial. Reduce el coste de instalación del ascensor. Suprime la transmisión de, p.e. Vibración en el cuerpo de la casa residencial al operar el ascensor. DESCRIPCIÓN DE LOS DIBUJOS: La figura muestra la vista transversal lateral parcial de la casa residencial. Pisos (1F, 2F) Estructura externa (5) Sótano (B) Losa de piso (S)
13;"NOVEDAD - Un método de construcción capaz de reconstruir fácilmente una casa existente en una casa techada durante un tiempo relativamente corto y que tiene una habitabilidad excelente después de la reconstrucción. El método incluye: una etapa de montaje de soportes de soporte para montar soportes de soporte (14) de miembros de piso de techo sobre placas plegables de una sección ondulada dispuestas sin espacio libre en la cara superior de una casa; y un paso de colocación de miembros de piso de techo para colocar miembros de piso de techo (16) sobre los soportes de soporte. DESCRIPCIÓN DE LOS DIBUJOS: montaje de soportes (14) colocación de miembros del piso del techo (16)"
14;"La vida cotidiana de las mujeres ha sido moldeada por los espacios que habitan (Soto, 2018); y esto es aplicable a la vida de las mujeres desplazadas por la violencia en Colombia. En este sentido, este artículo busca comprender los determinantes de género que subyacen a las condiciones de habitabilidad de estas mujeres y que delimitan su derecho a la ciudad. Para ello utilizamos datos desagregados por género de una encuesta de habitabilidad aplicada a 72 jefes de hogar (46 mujeres y 25 hombres) en el asentamiento La Primavera. El análisis de los determinantes de género en tres escenarios: vivienda, espacio y equipamiento público, y amenaza y riesgo de desastres, permite afirmar que estos determinantes se ven exacerbados por los efectos del conflicto armado, pero por otro lado, las mujeres aumentan. sus esfuerzos por mejorar sus condiciones de habitabilidad en comparación con sus homólogos masculinos."
15;El uso intensivo del espacio interior habitable en las ciudades del siglo XXI consolida un proceso de repliegue hacia una esfera espacial privada que no siempre resulta satisfactoria para los usuarios. La necesidad de considerar elementos no sólo en términos de satisfacción individual, sino también en términos de satisfacción colectiva y ambiental, nos lleva a pensar en la integración de las demandas de calidad de vida de los usuarios vinculadas al vínculo familiar en un microambiente saludable. a través de un modelo de habitabilidad tripartito, con tres dimensiones fundamentales: psicoeficiencia, socioeficiencia y ecoeficiencia. A partir del levantamiento planimétrico y fotográfico de un caso de estudio ubicado en la Ciudad de México, se procedió a un análisis fundamentado en la tríada teórica previamente elaborada. El resultado muestra que en la intersección de estas dimensiones se sitúan elementos controvertidos de la habitabilidad del entorno interior residencial (como una conexión urbana y familiar compatible con la privacidad y la salud en un entorno lo más sostenible posible), objetivos que el diseñador había que intentar conseguir negociando soluciones que se adaptaran a los deseos no siempre coincidentes de los usuarios.
16;A partir de los espacios impulsados ??por la Universidad Piloto de Colombia para el fomento de la investigación y la divulgación en la comunidad académica, un grupo de estudiantes y profesores (investigadores) de la ingeniería civil han conformado el grupo Semillero de Investigación en Casa Saludable donde se desarrollan ideas innovadoras. están concebidos para mejorar los problemas de habitabilidad de personas en situación marginal y con ello, provocar un cambio en el paradigma del trabajo del ingeniero en relación al trabajo con las comunidades. Así, desde un proceso de educación comunitaria, se busca transferir el conocimiento del semillero a poblaciones con carencias en su habitabilidad, proponiendo un modelo educativo activo y participativo donde el asistente mejore sus condiciones de habitabilidad a partir de la transferencia de las tecnologías propuestas por el grupo de semillero. de investigación. Por ello, a partir de un trabajo previo participativo centrado en identificar los problemas relacionados con la habitabilidad en las viviendas, se han desarrollado proyectos encaminados a mejorar la calidad del agua, la seguridad alimentaria y las mejores prácticas en vivienda saludable, legal y segura. Luego de revisar los proyectos de transferencia en los laboratorios de la Universidad, implementamos una propuesta educativa para transferir este conocimiento a comunidades que requieren este tipo de iniciativas para mejorar su habitabilidad. Es por ello que en este trabajo se presenta un modelo educativo para trasladar los proyectos desarrollados por los estudiantes a la comunidad del barrio Villa del Cerro ubicada en Bogotá, Colombia y que presenta problemas en sus viviendas habitables.
17;NOVEDAD - Se proporciona una ventana entre el paso de vellón (26) y el balcón interior con hoja que se puede abrir (33) y techo (34). Entre el techo de ventana (34) y el techo de lana (35), se instala un estante decorativo (36). Se proporciona un iluminador en el interior del estante. USO - Casa residencial. VENTAJA: Agrega habitabilidad residencial, función, liberación y diseño novedoso, ya que el ritmo de vellón conectado con el balcón interior, se puede usar para diversos usos del espacio y el espacio privado, etc., del pasatiempo en la construcción. DESCRIPCIÓN DE LOS DIBUJOS: la figura muestra la vista isométrica del techo de vellón en un edificio con balcón interior. Marco de vellón (26) Marco que se puede abrir (33) Techo (34) Techo de vellón (35) Estante decorativo (36)
18;NOVEDAD - Un primer piso (10) y un segundo piso están separados entre sí por una cama de campo. Una escalera exterior conecta el primer piso con el segundo piso. El primer piso asume una forma rectangular, plana y alargada que puede organizar algunos espacios habitables (12-14). Una puerta común une los espacios habitables. USO - Se utiliza como p.e. Casa residencial de dos o tres pisos. VENTAJA - Mejora la habitabilidad del edificio, sin dejar espacios muertos o inútiles en cada planta del edificio. El edificio puede estar formado por dos o más unidades constructivas. DESCRIPCIÓN DE LOS DIBUJOS: la figura muestra la vista en planta de la distribución de las habitaciones del primer piso de un edificio. Primer piso (10) Espacios habitables (12-14)
19;La política habitacional en México se ha caracterizado por favorecer el acceso a la propiedad. Hacia la década de los noventa del siglo XX se promueve la reducción de la intervención estatal, promoviendo el dominio del sector privado en el mercado inmobiliario formal. Esto ha favorecido a ciudades grandes y medianas con un marcado crecimiento en la oferta habitacional, como ocurre en la periferia oriente y norte de la Zona Metropolitana del Valle de México. Este artículo analiza las características de la vivienda social a partir del concepto de habitabilidad, contrastando los datos oficiales sobre la mejora de las características físicas de la vivienda con información obtenida del trabajo de campo sobre las condiciones de la vivienda y su entorno urbano. Se sugiere que la creciente oferta de vivienda social en la periferia de la Ciudad de México está afectando las condiciones de habitabilidad de los residentes, contrario al discurso oficial sobre mejorar las condiciones de vivienda.
20;En este artículo, investigamos la satisfacción sociocultural y ambiental de los residentes de viviendas tradicionales, utilizando la casa tradicional urbana de Katsina como estudio de caso. Para lograr este objetivo, se llevó a cabo una encuesta por cuestionario dirigida a 120 encuestados. Se midieron el nivel de satisfacción, el índice de satisfacción y los índices de habitabilidad de las variables mediante una relación matemática entre la satisfacción habitacional deseada y percibida. Los resultados del análisis revelaron el nivel de satisfacción de los encuestados en porcentajes, los índices de satisfacción derivados de las variables agrupadas y los índices de habitabilidad de las respectivas variables independientes. Los hallazgos clave muestran que, si bien la mayoría de los residentes parecían satisfechos con el aspecto sociocultural, no estaban satisfechos con algunos aspectos ambientales. A partir de experiencias tradicionales, las lecciones contemporáneas que se pueden derivar incluyen la necesidad de que las autoridades de planificación locales y los profesionales del entorno construido proporcionen soluciones de diseño flexibles para abordar el déficit identificado en términos de necesidades de los ocupantes en la futura provisión de vivienda pública.
21;Una residencia influye fuertemente en el estilo de vida de sus ocupantes y puede ser un factor determinante para la calidad de vida de la familia. Para mantener la comodidad y el bienestar de sus ocupantes, cada vivienda debe ser adecuada para el hogar. Por tanto, la vivienda debe proporcionar un entorno habitable y confortable. Los estándares de espacio habitacional en muchos países establecen las condiciones para lograr estos objetivos y, en general, regulan los tamaños generales de las habitaciones individuales, además de la distribución de las viviendas. Este documento busca explorar la relación entre las proporciones de área habitable y otras proporciones de área componente, como la área de estructura, área de servicios, área de circulación y área de espacios abiertos, en el contexto de las casas unifamiliares iraquíes. Por lo tanto, este estudio pretende responder dos preguntas clave: ¿Es la proporción de área habitable entre otras proporciones compatible con los estándares de vivienda iraquíes? ¿Y afecta el rendimiento de las unidades? Con este fin, el documento adoptó una metodología para calcular cada proporción de área en varios complejos recientemente establecidos en la ciudad de Sulaimaniya y su relación con el tamaño de diferentes áreas de parcela para evaluar la habitabilidad y eficiencia de diferentes áreas de parcelas de casas.
22;Hoy en día, la remodelación de edificios de apartamentos satisface las diversas demandas y condiciones de los residentes y mejora la habitabilidad y el asentamiento, pero plantea problemas ambientales como el desperdicio de materiales y el desperdicio arquitectónico, incluidas las pérdidas económicas. Por eso se está convirtiendo en un tema candente para la sociedad. La demanda de los residentes para la remodelación de la casa difiere principalmente en cuanto a escala y plan, por lo que se considera que la remodelación podría reducirse cuando el plano del apartamento pueda aceptar la demanda de los residentes. Desde este punto de vista, se necesita una comprensión fundamental del estado de remodelación como escala de la casa para evitar remodelaciones innecesarias de edificios de apartamentos y ofrecer un plan de vivienda variado enfocado a los residentes. Por lo tanto, este estudio tiene como objetivo sugerir datos básicos que podrían reducir las remodelaciones innecesarias en edificio de departamentos planeado ofrecer, a través del análisis y comprensión del tipo de remodelación y causa del edificio de departamentos.
23;Hanok es un estilo de construcción en la arquitectura tradicional coreana que actualmente respalda una especialidad de paisaje urbano y entorno residencial para la regeneración en Corea. Sin embargo, es difícil revisar o evaluar el desempeño del Hanok, y todavía no existe un estándar definitivo que se le pueda aplicar. Por lo tanto, es necesario establecer el sistema de evaluación del desempeño residencial de Hanok, y es necesario derivar su modelo conceptual de desempeño de habitabilidad para desarrollar un sistema de evaluación para el desempeño residencial de Hanok. Para este estudio se han clasificado sus factores de evaluación en tres grandes aspectos como son el espacio arquitectónico, el conjunto del pueblo y la sostenibilidad. Este estudio, entonces, intentó construir un sistema de evaluación compuesto por elementos o factores de evaluación probados y realizó análisis AHP (Proceso de Jerarquía Analítica) con expertos certificados en el campo Hanok y aplicó la importancia relativa entre los elementos de evaluación. Finalmente, esta investigación ha propuesto un modelo de evaluación del desempeño de habitabilidad de Hanok. Como resultado de la aplicación del modelo de evaluación para el desempeño ponderado de habitabilidad, el sistema de evaluación propuesto se implementó como el valor inherente de Hanok y su objetividad como una importante forma sostenible de regeneración para la residencia contemporánea en Corea.
24;"Al abordar el tema de la violencia familiar, la mayoría de los especialistas reconocen la influencia crucial de los factores ambientales en el surgimiento y mantenimiento de este tipo de violencia interpersonal. El modelo ecológico de desarrollo humano supone que la violencia de las personas en el hogar está influenciada por una serie de niveles contextuales superpuestos, desde el microsistema más próximo, que contiene la casa y la familia, hasta el macrosistema más global que incluye normas sociales y convenciones culturales. Por su parte, Crimen Prevention Through Environmental Design (CPTED), una perspectiva teórica más, establece que un adecuado diseño del hogar es un elemento disuasorio contra agresiones provenientes de fuentes ajenas a los entornos residenciales. Sin embargo, ni el Modelo Ecológico ni el CPTED han abordado hasta el momento el tema del efecto de las condiciones de habitabilidad en la violencia familiar. Varios autores han sugerido que la habitabilidad de la vivienda es un factor importante para la calidad de vida, el funcionamiento familiar y un potencial inductor de violencia doméstica. También se supone que la habitabilidad del hogar determina la calidad de vida y las interrelaciones de la familia; posteriormente, podría influir en las interacciones entre padres e hijos, así como en el funcionamiento conyugal/de pareja. La habitabilidad de la vivienda se concibe como el conjunto de dimensiones psicoambientales de un hogar. Esas dimensiones incluyen hacinamiento, privacidad, ruido, iluminación, profundidad y temperatura, entre otras condiciones. Según diversos autores psicoambientales, las condiciones negativas en la habitabilidad de la vivienda podrían ser inductoras de violencia familiar a través de la generación de estrés y situaciones relacionadas que predisponen interacciones agresivas. A pesar de esta sugerencia, hasta el momento no se han realizado estudios empíricos que aborden la relación entre los factores psicoambientales de la habitabilidad de la vivienda y la violencia familiar. El objetivo de este capítulo es presentar antecedentes y resultados de un estudio sobre habitabilidad de viviendas y su impacto en el maltrato infantil familiar y conductas abusivas entre parejas. Luego de revisar teorías e investigaciones previas sobre habitabilidad de la vivienda y relaciones familiares, se presentan métodos, resultados y conclusiones de un estudio empírico. Se administraron escalas que investigaban condiciones negativas de habitabilidad (mala iluminación, falta de privacidad, falta de profundidad, ruido y temperatura extrema) a los participantes (200 amas de casa mexicanas) en sus hogares. Además, respondieron a un instrumento que investigaba el maltrato infantil y los episodios de agresividad entre parejas, que constituyeron un factor único de violencia familiar. Las amas de casa también proporcionaron información demográfica. Los resultados se procesaron dentro de un modelo de ecuaciones estructurales, que mostró que las condiciones negativas de habitabilidad del hogar predecían significativa y positivamente la violencia familiar. Un estatus socioeconómico más alto se correlacionaba con una mejor habitabilidad percibida en la vivienda, mientras que los participantes más jóvenes percibían esas condiciones como peores que las personas mayores. Se discuten las implicaciones de estos resultados en términos de prestar atención al diseño físico de la vivienda como promotor del funcionamiento familiar positivo."
25;NOVEDAD - La casa-patio consta de tres plantas con estructura de figuras cuadradas. Una celosía intermedia central y una celosía intermedia derecha de cada piso están diseñadas para ser un patio intermedio (100), que está conectado hacia arriba con el exterior desde uno de los pisos. Las escaleras (101) y las entradas (102) interconectadas con la parte delantera y trasera de cada piso están dispuestas en una celosía central izquierda en cada piso. La celosía intermedia delantera es un balcón que, desde uno de los pisos, está conectado hacia arriba con el exterior. La celosía central central cerca de una celosía intermedia forma una entrada para conectar dos terrazas (111). USO - Casa-patio a noventa grados. VENTAJA: La celosía central central y la celosía central derecha de cada piso están diseñadas para ser el patio central, que está conectado hacia arriba con el exterior desde uno de los pisos, de modo que el patio tiene iluminación diurna vertical y ventilación de aire desde ambos frentes. y hacia atrás, e iluminación diurna vertical y ventilación de aire tanto desde arriba como desde abajo. Las otras celosías de las unidades están estratégicamente huecas para producir múltiples porches o terrazas con diferentes direcciones para cada piso, de modo que los habitantes puedan contactar en gran medida con la naturaleza, aumentando así la habitabilidad de la casa-patio. DESCRIPCIÓN DE LOS DIBUJOS: El dibujo muestra una vista esquemática de una casa con patio de noventa grados. Patio central (100) Escalera (101) Entrada (102) Balcón interior (103) Celda funcional (104) Terraza (111)
26;Este estudio desarrolló la Casa Modelo Virtual Interactiva (IVMH) para proporcionar la casa modelo cibernética, página de inicio de un complejo de apartamentos y hogar inteligente, que han sido indicadas como una alternativa para mejorar los entornos residenciales, como un sistema total. Por esta causa, el concepto Se estableció el IVMH y se estudiaron los apartamentos y los tres tipos de vías utilizados en el sistema existente. A partir de los datos organizados, se examinaron los elementos del IVMH por tecnología y entorno, y se completó el modelo de IVMH. IVMH es un modelo de sistema integrado que apoya la oferta de información en apartamentos utilizando tecnología digital, apoyando las comodidades, la comunicación y la reflexión de opinión. Además, se le proporcionarán contenidos aplicables a partir de ahora. Por esos motivos, se espera que sea eficaz para ayudar a mejorar la habitabilidad.
27;La vivienda social en España tiene su origen en la primera Ley de Viviendas Baratas que se promulgó en 1911, intentando dar solución a una necesidad habitacional de la clase trabajadora que acudía a las ciudades en oleadas migratorias desde las zonas rurales. Desde entonces, se han ido tomando iniciativas legislativas para mitigar el problema de la vivienda. Cada uno de ellos fue aportando elementos que presumiblemente contribuían a la higiene y habitabilidad de la casa sin olvidar las condiciones económicas. Actualmente, en España existe un gran parque inmobiliario heredado de estas iniciativas. En muchos casos, se trata de barrios que actualmente muestran una notable vulnerabilidad energética y social. Conscientes de la necesidad de adaptar estas viviendas a los requisitos normativos relacionados con la eficiencia energética, el confort y las características físicas y técnicas de la construcción, los Centros de Investigación están desarrollando múltiples investigaciones encaminadas a favorecer la adaptabilidad de las viviendas y mejorar la calidad de vida de sus habitantes. Este artículo hace un recorrido por la evolución que ha tenido la vivienda social durante el siglo XX en España y el estado actual de las investigaciones encaminadas a adaptarla a las nuevas exigencias energéticas, de habitabilidad y de sostenibilidad.
28;El propósito de este estudio fue sugerir los métodos de diseño de edificios de apartamentos que se preocupan por la conexión con el área circundante, especialmente en los trabajos de concurso del Proyecto de Mejora del Medio Ambiente de la Vivienda. A través de las 36 muestras premiadas, el método de diseño se puede clasificar como un transcurso del tiempo y el límite de la planificación espacial. Con el paso del tiempo, la vida del habitante de la preexistencia se convirtió en una figura destacada del diseño. Además, adaptar el diseño a las características geográficas y garantizar la habitabilidad de los residentes son el objetivo de diseño importante en el ámbito de la planificación. Por esta razón, de ahora en adelante, se debe planificar no sólo las conexiones físicas sino también el compartir la vida de los habitantes de la preexistencia.
29;Para acumular mediciones de vibraciones en casas, el Grupo de Trabajo sobre Técnicas de Medición de Vibraciones Ambientales en AIJ y el Laboratorio GOTO de la Universidad de Hosei midieron conjuntamente las vibraciones de trenes en marcha en una casa de madera. Se obtuvo cada valor máximo de los valores cuadráticos medios de las aceleraciones de vibración en bandas de 1/3 de octava durante el paso de un tren. Los resultados fueron los siguientes. 1) La vibración vertical del suelo fue mayor que las vibraciones horizontales del suelo. 2) La vibración vertical en el centro del piso estudiado tuvo un máximo de 63 Hz y aumentó con la velocidad del tren. 3) Vibración que se propaga desde los cimientos al piso amplificada. Según los modos de vibración del piso determinados mediante análisis modal, la ganancia se puede atribuir a los modos restringidos por las vigas que soportan los postes del piso. 4) Aplicamos las Directrices para la evaluación de la habitabilidad a la vibración de los edificios (AIJ, 2004) a las mediciones y consideramos notas de uso.
30;Una de las preocupaciones sobre las consecuencias sociales del actual crecimiento urbano, la desigualdad en salud, es la generada por las malas condiciones de vida en la vivienda. Un estudio a partir de los resultados de la Encuesta Nacional de Salud (ENS) 2007, tema de este artículo, la aplicación de un cuestionario mejorado y una encuesta participativa en una localidad de Bogotá, permitió analizar la relación entre la infravivienda y las disparidades en el estado de salud de la población. Con una metodología integral se podría establecer una asociación entre las condiciones de vivienda y la percepción de salud.
